,price,ranks,title,average_rating,no_of_reviews,author,cover_type,year,genre
380,14.05,21,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4.6,81449,Daniel James Brown,Paperback,2015,Non Fiction
381,8.89,22,"Jesus Calling, Padded Hardcover, with Scripture references",4.9,39374,Sarah Young,Hardcover,2015,Non Fiction
382,12.98,23,Mindset: The New Psychology of Success,4.6,26347,Carol S. Dweck,Paperback,2015,Non Fiction
383,12.76,24,"Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades Of Grey Series, 4)",4.5,91379,E L James,Paperback,2015,Fiction
384,5.99,25,Creative Haven Creative Cats Coloring Book (Adult Coloring),4.8,5180,Marjorie Sarnat,Paperback,2015,Non Fiction
385,10.3,26,How to Win Friends & Influence People (Dale Carnegie Books),4.7,104601,Dale Carnegie,Paperback,2015,Non Fiction
386,8.39,27,The 5 Love Languages: The Secret to Love that Lasts,4.8,88040,Gary Chapman,Paperback,2015,Non Fiction
387,11.95,28,Balance (Angieâ€™s Extreme Stress Menders),4.6,2283,Angie Grace,Paperback,2015,Non Fiction
388,5.38,29,Creative Haven Owls Coloring Book (Adult Coloring),4.7,5287,Marjorie Sarnat,Paperback,2015,Non Fiction
389,27.03,30,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),4.6,14996,Thug Kitchen,Hardcover,2015,Non Fiction
390,6.71,51,Diary of a Minecraft Zombie Book 1: A Scare of A Dare (Minecraft Adventure),4.7,18101,Zack Zombie,Paperback,2015,Fiction
391,7.12,52,The Great Gatsby: The Only Authorized Edition,4.4,13697,F. Scott Fitzgerald,Paperback,2015,Fiction
392,14.95,53,Lost Ocean: An Inky Adventure and Coloring Book for Adults,4.7,8267,Johanna Basford,Paperback,2015,Non Fiction
393,23.0,54,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",4.6,12109,Patrick Lencioni,Hardcover,2015,Non Fiction
394,25.45,55,The Official SAT Study Guide,4.4,1544,The College Board,Paperback,2015,Non Fiction
395,9.89,56,10-Day Green Smoothie Cleanse,4.7,37369,JJ Smith,Paperback,2015,Non Fiction
396,21.88,57,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,4.7,39611,BrenÃ© Brown,Paperback,2015,Non Fiction
397,4.59,58,Chicka Chicka Boom Boom (Board Book),4.9,36149,Bill Martin Jr.,Board book,2015,Fiction
398,13.18,59,The Day the Crayons Came Home,4.8,5716,Drew Daywalt,Hardcover,2015,Fiction
399,20.5,60,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,4.6,28895,Randall Munroe,Hardcover,2015,Non Fiction
400,7.68,61,Paper Towns,4.2,35377,John Green,Paperback,2015,Fiction
401,12.49,62,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.7,75133,Laura Hillenbrand,Paperback,2015,Non Fiction
402,13.0,63,Get What's Yours: The Secrets to Maxing Out Your Social Security (The Get What's Yours Series),4.2,3516,Laurence J. Kotlikoff,Hardcover,2015,Non Fiction
403,11.46,64,"Magnus Chase and the Gods of Asgard, Book 1: The Sword of Summer",4.6,22221,Rick Riordan,Hardcover,2015,Fiction
404,9.92,65,Dragons Love Tacos,4.8,17455,Adam Rubin,Hardcover,2015,Fiction
405,8.36,66,Fahrenheit 451,4.6,46708,Ray Bradbury,Paperback,2015,Fiction
406,8.53,67,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",4.8,25465,Valorie Schaefer,Paperback,2015,Non Fiction
407,7.99,68,Potty (Leslie Patricelli board books),4.7,13551,Leslie Patricelli,Board book,2015,Fiction
408,20.49,69,Thing Explainer: Complicated Stuff in Simple Words,4.5,4313,Randall Munroe,Hardcover,2015,Non Fiction
409,16.03,70,Dead Wake: The Last Crossing of the Lusitania,4.4,30829,Erik Larson,Hardcover,2015,Non Fiction
410,3.97,71,The Going To Bed Book,4.8,16758,Sandra Boynton,Board book,2015,Fiction
411,13.29,72,"Inspiralized: Turn Vegetables into Healthy, Creative, Satisfying Meals: A Cookbook",4.4,3838,Ali Maffucci,Paperback,2015,Non Fiction
412,3.99,73,Mystical Mandala Coloring Book (Dover Mandala Coloring Books),4.5,2978,Alberta Hutchinson,Paperback,2015,Non Fiction
413,134.99,74,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",4.7,12805,American Psychiatric Association,Paperback,2015,Non Fiction
414,6.99,75,Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,4.6,4923,DK,Paperback,2015,Fiction
415,16.53,76,The 20/20 Diet: Turn Your Weight Loss Vision Into Reality,4.0,8848,Phil McGraw,Hardcover,2015,Non Fiction
416,6.27,77,Night (Night),4.7,19811,Elie Wiesel,Paperback,2015,Non Fiction
417,18.9,78,What to Expect When You're Expecting,4.8,30660,Heidi Murkoff,Paperback,2015,Non Fiction
418,12.99,79,The Jesus Storybook Bible: Every Story Whispers His Name,4.9,12371,Sally Lloyd-Jones,Hardcover,2015,Non Fiction
419,14.63,80,The Road to Character,4.3,5957,David Brooks,Hardcover,2015,Non Fiction
420,11.39,1,"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",4.3,69325,J.K. Rowling,Hardcover,2016,Fiction
421,20.96,2,StrengthsFinder 2.0,4.1,8109,Gallup,Hardcover,2016,Non Fiction
422,4.78,3,First 100 Words: A Padded Board Book,4.7,36371,Roger Priddy,Board book,2016,Non Fiction
423,8.89,4,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,4.5,58294,Marie KondÅ,Hardcover,2016,Non Fiction
424,8.48,5,"Oh, the Places You'll Go!Â Â ",4.9,45619,Dr. Seuss,Hardcover,2016,Fiction
425,13.95,6,Diary of a Wimpy Kid #11: Double Down,4.8,21826,Jeff Kinney,Hardcover,2016,Fiction
426,18.2,7,When Breath Becomes Air,4.7,86364,Paul Kalanithi,Hardcover,2016,Non Fiction
427,5.94,8,Giraffes Can't Dance,4.8,28680,Giles Andreae,Board book,2016,Fiction
428,8.39,9,The 5 Love Languages: The Secret to Love that Lasts,4.8,88040,Gary Chapman,Paperback,2016,Non Fiction
429,15.68,10,The Whole30: The 30-Day Guide to Total Health and Food Freedom,4.6,16309,Melissa Hartwig Urban,Hardcover,2016,Non Fiction
430,12.54,11,A Man Called Ove: A Novel,4.6,180536,Fredrik Backman,Paperback,2016,Fiction
431,15.8,12,Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),4.8,11613,Bill O'Reilly,Hardcover,2016,Non Fiction
432,10.3,13,How to Win Friends & Influence People (Dale Carnegie Books),4.7,104601,Dale Carnegie,Paperback,2016,Non Fiction
433,14.1,14,The Magnolia Story,4.8,10381,Chip Gaines,Hardcover,2016,Non Fiction
