,price,ranks,title,no_of_reviews,ratings,author,cover_type,year
572,8.89,53,To Kill a Mockingbird,4.7,"128,002",Harper Lee,Paperback,2018
573,15.68,54,The Whole30: The 30-Day Guide to Total Health and Food Freedom,4.6,Melissa Hartwig Urban,,Hardcover,2018
574,18.29,55,The Keto Diet: The Complete Guide to a High-Fat Diet,4.4,"7,560",Leanne Vogel,Paperback,2018
575,11.29,56,Everybody Always: Becoming Love in a World Full of Setbacks and Difficult People,4.8,"6,848",Bob Goff,Paperback,2018
576,14.97,57,Before We Were Yours: A Novel,4.7,"45,586",Lisa Wingate,Hardcover,2018
577,15.68,58,The Reckoning: A Novel,4.2,"29,928",John Grisham,Hardcover,2018
578,4.94,59,"Brown Bear, Brown Bear, What Do You See?",4.9,Bill Martin Jr.,,Board book,2018
579,13.46,60,Beneath a Scarlet Sky: A Novel,4.7,"90,997",Mark Sullivan,Paperback,2018
580,12.70,61,What to Expect When You're Expecting,4.8,"30,677",Heidi Murkoff,Paperback,2018
581,16.59,62,Principles: Life and Work,4.6,"13,575",Ray Dalio,Hardcover,2018
582,9.99,63,Astrophysics for People in a Hurry,4.7,"22,986",Neil deGrasse Tyson,Hardcover,2018
583,4.99,64,Laugh-Out-Loud Jokes for Kids,4.6,"11,593",Rob Elliott,Paperback,2018
584,17.51,65,"Medical Medium Liver Rescue: Answers to Eczema, Psoriasis, Diabetes, Strep, Acne, Gout, Bloating, Gallstones, Adrenal Stress, Fatigue, Fatty Liver, Weight Issues, SIBO & Autoimmune Disease",4.7,"11,414",Anthony William,Hardcover,2018
585,,66,The Official SAT Study Guide,4.5,"2,396",The College Board,Paperback,2018
586,4.99,67,Calm the F*ck Down: An Irreverent Adult Coloring Book,4.6,"21,280",Sasha O'Hara,Paperback,2018
587,8.53,68,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",4.8,Valorie Schaefer,,Paperback,2018
588,15.68,69,The Outsider: A Novel,4.6,"32,809",Stephen King,Hardcover,2018
589,14.69,70,Where the Crawdads Sing,4.8,"429,687",Delia Owens,Hardcover,2018
590,27.97,71,D&D Dungeon Master’s Guide (Dungeons & Dragons Core Rulebook),4.9,Dungeons & Dragons,,Hardcover,2018
591,14.70,72,Sapiens: A Brief History of Humankind,4.6,Yuval Harari,,Paperback,2018
592,4.98,73,Love You Forever,4.9,"57,802",Robert Munsch,Paperback,2018
593,9.92,74,Dragons Love Tacos,4.8,"17,455",Adam Rubin,Hardcover,2018
594,14.10,75,The Woman in the Window: A Novel,4.4,"68,212",A. J. Finn,Hardcover,2018
595,27.49,76,D&D Monster Manual (Dungeons & Dragons Core Rulebook),4.9,Dungeons & Dragons,,Hardcover,2018
596,18.29,77,Simply Keto: A Practical Approach to Health & Weight Loss with 100+ Easy Low-Carb Recipes,4.6,"9,638",Suzanne Ryan,Paperback,2018
597,20.96,78,StrengthsFinder 2.0,4.1,Gallup,,Hardcover,2018
598,17.98,79,Extreme Ownership: How U.S. Navy SEALs Lead and Win (New Edition),4.8,"30,986",Jocko Willink,Hardcover,2018
